what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.team.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.team.ui",1264166038195
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1264166038195
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1264166038195
started,bundle,org.eclipse.wst.xml.core,1.1.401.v200908242115,"org.eclipse.wst.xml.core",1264166038195
started,bundle,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui",1264166038195
started,bundle,org.springframework.ide.eclipse.aop.core,2.3.0.200912170948-RELEASE,"org.springframework.ide.eclipse.aop.core",1264166038195
started,bundle,org.springframework.ide.eclipse.aop.ui,2.3.0.200912170948-RELEASE,"org.springframework.ide.eclipse.aop.ui",1264166038195
started,bundle,org.springframework.ide.eclipse.beans.core,2.3.0.200912170948-RELEASE,"org.springframework.ide.eclipse.beans.core",1264166038195
started,bundle,org.springframework.ide.eclipse.beans.ui,2.3.0.200912170948-RELEASE,"org.springframework.ide.eclipse.beans.ui",1264166038195
started,bundle,org.springframework.ide.eclipse.core,2.3.0.200912170948-RELEASE,"org.springframework.ide.eclipse.core",1264166038195
started,bundle,org.springframework.ide.eclipse.ui,2.3.0.200912170948-RELEASE,"org.springframework.ide.eclipse.ui",1264166038195
os,sysinfo,,,"linux",1264166038217
arch,sysinfo,,,"x86",1264166038217
ws,sysinfo,,,"gtk",1264166038217
locale,sysinfo,,,"en_US",1264166038217
processors,sysinfo,,,"1",1264166038217
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1264166038217
java.runtime.version,sysinfo,,,"1.6.0_15-b03",1264166038217
java.specification.name,sysinfo,,,"Java Platform API Specification",1264166038217
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1264166038217
java.specification.version,sysinfo,,,"1.6",1264166038217
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1264166038217
java.version,sysinfo,,,"1.6.0_15",1264166038217
java.vm.info,sysinfo,,,"mixed mode, sharing",1264166038217
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1264166038217
