what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.springframework.ide.eclipse.ui,2.3.0.200912170948-RELEASE,"org.springframework.ide.eclipse.ui",1264345062698
stopped,bundle,org.springframework.ide.eclipse.core,2.3.0.200912170948-RELEASE,"org.springframework.ide.eclipse.core",1264345062698
stopped,bundle,org.eclipse.ajdt.core,2.0.2.e35x-20100105-0900,"org.eclipse.ajdt.core",1264345062698
stopped,bundle,org.eclipse.contribution.weaving.jdt,2.0.2.e35x-20100105-0900,"org.eclipse.contribution.weaving.jdt",1264345062698
stopped,bundle,org.eclipse.contribution.xref.ui,2.0.2.e35x-20100105-0900,"org.eclipse.contribution.xref.ui",1264345062698
stopped,bundle,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui",1264345062706
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.bugzilla.ui",1264345062706
stopped,bundle,org.eclipse.mylyn.ide.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.ide.ui",1264345062706
stopped,bundle,org.eclipse.mylyn.team.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.team.ui",1264345062706
stopped,bundle,org.eclipse.mylyn.resources.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.resources.ui",1264345062706
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.2.0.v20091215-0000-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1264345062706
stopped,bundle,org.eclipse.mylyn.context.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.ui",1264345062706
stopped,bundle,org.eclipse.mylyn.help.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.help.ui",1264345062706
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.tasks.bugs",1264345062706
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.tasks.ui",1264345062706
stopped,bundle,org.eclipse.wst.sse.ui,1.1.101.v200908261807,"org.eclipse.wst.sse.ui",1264345062706
stopped,bundle,org.eclipse.search,3.5.0.v20090526-2000,"org.eclipse.search",1264345063500
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1264345063500
stopped,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1264345063500
stopped,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1264345063500
stopped,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1264345063500
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1264345063500
